Year,Herbivores,Carnivores,HerbivoreAvgFitness,CarnivoreAvgFitness,HerbivoreAvgAge,CarnivoreAvgAge,HerbivoreAvgWeight,CarnivoreAvgWeight
682,123,482,0.770770627851561,0.787585299105297,11.3089430894309,15.0414937759336,24.2785080665007,18.1380384650461
683,126,494,0.774586024038232,0.787902406933033,11.7063492063492,15.2004048582996,24.4270821842604,18.6275157394022
684,118,485,0.777147719813129,0.800549149603099,11.7627118644068,15.8061855670103,24.4572795437767,19.5579091535871
685,116,484,0.766720657182953,0.801598624784261,11.3103448275862,16.2747933884298,24.0841460822886,20.0347475678781
686,115,497,0.783555555036797,0.794665090687249,11.8347826086957,16.1509054325956,25.0771458090086,19.6085404778886
687,123,488,0.769022333186159,0.799940183323104,11.2113821138211,16.780737704918,24.4355378132519,19.7971333028892
688,119,496,0.791225801193122,0.799633612688053,11.4789915966387,16.2459677419355,25.2951951659219,19.0599119601642
689,125,497,0.776755638921151,0.797990396542514,11.032,15.7987927565392,24.4152726587952,18.2619367888609
690,124,500,0.778172140227868,0.789150608543637,10.9274193548387,15.656,24.3363598703201,18.1323308865767
691,123,511,0.795917421176196,0.782845523162237,11.609756097561,15.4716242661448,25.2850101252071,17.8706880173733
692,123,508,0.787420431471325,0.785821975122273,11.5447154471545,15.7362204724409,25.0220018987711,18.1698224301643
693,126,504,0.786008354055695,0.782618144574841,11.4126984126984,16.0575396825397,24.8838793484351,18.4185024402156
694,130,481,0.770994693033024,0.799573521848719,11.3153846153846,16.997920997921,24.0066782511592,19.6227672493898
695,125,472,0.787808100454282,0.804503108322297,11.864,17.1122881355932,24.8806181943335,19.4637430585833
696,128,480,0.774859691906262,0.807374550816868,11.9140625,17.0458333333333,24.3979504151508,19.4275039414591
697,121,493,0.773773811073816,0.800478662465173,11.801652892562,16.9553752535497,24.0474431417986,19.6997670715215
698,122,496,0.790682697207384,0.794937935870171,12.172131147541,16.8709677419355,24.999444432599,19.4118278933237
699,119,498,0.801793394697597,0.787845787028903,12.8235294117647,17.0160642570281,25.9080459742946,19.9034544310263
700,126,471,0.772152716194066,0.789187114723713,12.2698412698413,17.1634819532909,24.4717327217933,20.0095336063722
701,125,469,0.76818030643398,0.789183379026337,12.048,17.3091684434968,23.970224530232,20.2314712461788
702,127,456,0.778137791218633,0.796946080846238,12.4015748031496,17.2258771929825,24.4612503483924,19.6771724160682
703,121,446,0.799115321913332,0.802103087664366,12.8760330578512,16.9349775784753,25.6243159039817,19.1290732894526
704,124,455,0.78092364232839,0.80091542818264,12.3548387096774,16.3846153846154,24.8974959171332,19.1358335581693
705,126,464,0.778637753806678,0.795351776377916,12.1825396825397,15.9612068965517,24.7911244408475,19.0053425536898
